session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f1da381120a7229a063a195,5f0f59fa7f396506b1c9d889,APPROVED,2020-07-26 15:38:41,2020-07-26 15:44:37,356.191,42,6,1,96,2020-07-29 14:31:34,6D154BBD,Austria,Austria,Full-Time,German,"English, German",Austria,Male,No
5f1da38326751403f8a639f2,5ef1d682103d8201cd945410,APPROVED,2020-07-26 15:38:44,2020-07-26 15:47:30,526.11,19,13,0,100,2020-07-29 14:31:35,6D154BBD,Slovenia,Slovenia,Unemployed (and job seeking),Slovenian,"English, French, Slovenian, German, Croatian",Slovenia,Female,No
5f1da38517f6226e9caf14ee,5e70bd5480f43a0009625d4c,APPROVED,2020-07-26 15:38:53,2020-07-26 15:42:32,218.798,20,69,0,100,2020-07-29 14:31:37,6D154BBD,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,No
5f1da38a0add986cac0b0e34,5c90f5eae2d9fb0011385c58,APPROVED,2020-07-26 15:38:50,2020-07-26 15:42:16,206.375,23,177,1,100,2020-07-29 14:31:40,6D154BBD,Estonia,Estonia,Part-Time,Estonian,"English, Estonian",Estonia,Female,No
5f1da38a42e7b06e48642c75,5eeb8e55aca0f90cc757bb0d,APPROVED,2020-07-26 15:38:51,2020-07-26 15:42:21,210.005,21,12,0,100,2020-07-29 14:31:42,6D154BBD,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No
5f1da38f4ce58101df35f286,5d24b93d71f10500194f1fba,APPROVED,2020-07-26 15:38:55,2020-07-26 15:45:52,416.938,22,68,2,99,2020-07-29 14:31:45,6D154BBD,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes
5f1da38fed2efa6ddcc5ca51,5f04cbb4e2b984791b535f68,APPROVED,2020-07-26 15:39:17,2020-07-26 15:43:37,260.309,19,4,0,100,2020-07-29 14:31:47,6D154BBD,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
5f1da392c4f27029c775f8d3,5d97ba9f9fcbb700151bbec0,APPROVED,2020-07-26 15:38:58,2020-07-26 15:44:07,308.818,22,115,0,100,2020-07-29 14:31:49,6D154BBD,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, Spanish, English",Portugal,Male,Yes
5f1da393aaffd76e3b948290,5c770e63a2b09c0001a821cc,APPROVED,2020-07-26 15:39:00,2020-07-26 15:48:17,557.43,19,252,3,99,2020-07-29 14:31:51,6D154BBD,Portugal,United Kingdom,Part-Time,Portuguese,"Spanish, English, Portuguese",Portugal,Male,Yes
5f1da3955eec2229d2c94bce,5ec8216a31328710b01d2f45,APPROVED,2020-07-26 15:39:04,2020-07-26 15:42:19,195.184,24,31,0,100,2020-07-29 14:31:54,6D154BBD,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Portugal,Male,No
5f1da396ed2efa6ddcc5ca53,5b57af5f508b8c0001a69fd2,APPROVED,2020-07-26 15:39:11,2020-07-26 15:57:50,1118.812,29,114,2,99,2020-07-29 14:32:01,6D154BBD,Ukraine,Germany,Unemployed (and job seeking),Russian,English,Ukraine,Male,No
